Category	Score	Query_File_Name	ClassificationGroup
Somatic	-12.485611915588379	iPS-Retro-UtE-iPS-6_P30.txt	10
EC	1.872421383857727	iPS-Retro-UtE-iPS-7_P31.txt	10
iPS	7.030154228210449	iPS-Retro-UtE-iPS-7_P31.txt	10
ES	5.070237636566162	iPS-Retro-UtE-iPS-7_P31.txt	10
Somatic	-12.621419906616211	iPS-Retro-UtE-iPS-7_P31.txt	10
EC	1.8238697052001953	iPS-Sendai-Edom-iPS-23_P30.txt	10
iPS	6.491866111755371	iPS-Sendai-Edom-iPS-23_P30.txt	10
ES	5.046703815460205	iPS-Sendai-Edom-iPS-23_P30.txt	10
Somatic	-12.037376403808594	iPS-Sendai-Edom-iPS-23_P30.txt	10
EC	1.9309022426605225	iPS-Sendai-Edom-iPS-30_P30.txt	10
iPS	6.458072662353516	iPS-Sendai-Edom-iPS-30_P30.txt	10
ES	4.865194797515869	iPS-Sendai-Edom-iPS-30_P30.txt	10
Somatic	-11.923247337341309	iPS-Sendai-Edom-iPS-30_P30.txt	10
EC	1.815864086151123	iPS-Sendai-Edom-iPS-31_P30.txt	10
iPS	6.060433864593506	iPS-Sendai-Edom-iPS-31_P30.txt	10
ES	5.304870128631592	iPS-Sendai-Edom-iPS-31_P30.txt	10
Somatic	-11.838884353637695	iPS-Sendai-Edom-iPS-31_P30.txt	10
EC	1.948328971862793	iPS-Sendai-Edom-iPS-35_P30.txt	10
iPS	6.439709186553955	iPS-Sendai-Edom-iPS-35_P30.txt	10
ES	4.883723735809326	iPS-Sendai-Edom-iPS-35_P30.txt	10
Somatic	-11.947936058044434	iPS-Sendai-Edom-iPS-35_P30.txt	10
EC	1.6095904111862183	iPS-Sendai-Edom-iPS-39_P30.txt	10
iPS	6.548079967498779	iPS-Sendai-Edom-iPS-39_P30.txt	10
ES	4.906413555145264	iPS-Sendai-Edom-iPS-39_P30.txt	10
Somatic	-11.70616626739502	iPS-Sendai-Edom-iPS-39_P30.txt	10
EC	2.0137898921966553	iPS-Sendai-Edom-iPS-5_P30.txt	10
iPS	6.334929943084717	iPS-Sendai-Edom-iPS-5_P30.txt	10
ES	4.328096866607666	iPS-Sendai-Edom-iPS-5_P30.txt	10
Somatic	-11.38427448272705	iPS-Sendai-Edom-iPS-5_P30.txt	10
EC	0.7509971261024475	Primary-AM936EP_P12.txt	10
iPS	-6.3517985343933105	Primary-AM936EP_P12.txt	10
ES	-8.574653625488281	Primary-AM936EP_P12.txt	10
Somatic	15.391302108764648	Primary-AM936EP_P12.txt	10
EC	0.9429230093955994	Primary-CCD1079SK.txt	10
iPS	-5.49915075302124	Primary-CCD1079SK.txt	10
ES	-6.105374813079834	Primary-CCD1079SK.txt	10
Somatic	11.915475845336914	Primary-CCD1079SK.txt	10
EC	0.8833483457565308	Primary-Chond1.txt	10
iPS	-3.8223628997802734	Primary-Chond1.txt	10
ES	-5.4586501121521	Primary-Chond1.txt	10
Somatic	9.608457565307617	Primary-Chond1.txt	10
EC	0.5516477823257446	Primary-Edom22_P5.txt	10
iPS	-5.676549911499023	Primary-Edom22_P5.txt	10
ES	-8.460227012634277	Primary-Edom22_P5.txt	10
Somatic	14.771085739135742	Primary-Edom22_P5.txt	10
EC	0.4824187159538269	Primary-HBdSMC265.txt	10
iPS	-4.499812126159668	Primary-HBdSMC265.txt	10
ES	-5.788875102996826	Primary-HBdSMC265.txt	10
Somatic	11.004532814025879	Primary-HBdSMC265.txt	10
EC	0.3638854920864105	Primary-HBVSMC266.txt	10
iPS	-3.9061436653137207	Primary-HBVSMC266.txt	10
ES	-5.2792205810546875	Primary-HBVSMC266.txt	10
